part,step_id,variant,model,seed,cv,subset,target,train_mode,test_domain,n_added,n,n_total,n_groups,n_test,R2,RMSE,MAE
loocv_ref,Augmented|LOOCV,,Random Forest,44,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.8142868685332157,3.833625354302908,2.600599339311677
loocv_ref,Augmented|LOOCV,,Random Forest,45,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7995123746546381,3.9832003193416816,2.6696906732616386
loocv_ref,Augmented|LOOCV,,Random Forest,46,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.8082229509930252,3.895710518143227,2.635539419390082
loocv_ref,Augmented|LOOCV,,Random Forest,47,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.8082441948465324,3.895494741031174,2.6226920072962057
loocv_ref,Augmented|LOOCV,,Random Forest,48,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.8114632607510793,3.862658894537205,2.603323134502932
loocv_ref,Augmented|LOOCV,,Random Forest,49,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7908112663816944,4.068717225056561,2.7349140604335918
loocv_ref,Augmented|LOOCV,,Random Forest,50,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.8156614642538795,3.819411301700704,2.5577634302941217
loocv_ref,Augmented|LOOCV,,Random Forest,51,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7991429184942533,3.986868726674945,2.708640248350386
loocv_ref,Augmented|LOOCV,,XGBoost,42,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7629554244229899,4.331151476684397,3.1358710936496133
loocv_ref,Augmented|LOOCV,,XGBoost,43,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7619152485067939,4.340643843221319,3.0221206676750847
loocv_ref,Augmented|LOOCV,,XGBoost,44,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7552753253175912,4.400755516584522,3.1131565052166317
loocv_ref,Augmented|LOOCV,,XGBoost,45,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7885428900089889,4.090717684833133,2.9482206311142236
loocv_ref,Augmented|LOOCV,,XGBoost,46,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7705302042265781,4.261388472077394,3.082201183469672
loocv_ref,Augmented|LOOCV,,XGBoost,47,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7708325163755041,4.258580490126057,3.0043073180683875
loocv_ref,Augmented|LOOCV,,XGBoost,48,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7660962399250726,4.302362145783961,3.0345489325439714
loocv_ref,Augmented|LOOCV,,XGBoost,49,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.776710836647189,4.2036077625338635,3.005510995764481
loocv_ref,Augmented|LOOCV,,XGBoost,50,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7794973207716586,4.1772964556520025,3.071801123368113
loocv_ref,Augmented|LOOCV,,XGBoost,51,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7874038006419437,4.101720943574482,2.860049221641139
loocv_ref,Augmented|LOOCV,,GPR,42,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773823789715686,4.197281825905893,2.8716134620966374
loocv_ref,Augmented|LOOCV,,GPR,43,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773825296567202,4.197280405380077,2.871612642083681
loocv_ref,Augmented|LOOCV,,GPR,44,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773824008904078,4.197281619274569,2.8716135478574367
loocv_ref,Augmented|LOOCV,,GPR,45,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773824467325966,4.197281187115145,2.8716130583559405
loocv_ref,Augmented|LOOCV,,GPR,46,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773824996577933,4.197280688183362,2.8716129179977457
loocv_ref,Augmented|LOOCV,,GPR,47,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773824384791582,4.197281264921232,2.8716127248865675
loocv_ref,Augmented|LOOCV,,GPR,48,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773824677253505,4.1972809892141,2.871612372620448
loocv_ref,Augmented|LOOCV,,GPR,49,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773824813709503,4.1972808605754945,2.8716123363971118
loocv_ref,Augmented|LOOCV,,GPR,50,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773824056655816,4.197281574258475,2.871613010171554
loocv_ref,Augmented|LOOCV,,GPR,51,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7773824425415219,4.197281226624876,2.871612845711561
loocv_ref,Augmented|LOCO,,Ridge,42,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7353482946919014,4.576418267650208,3.299000492429795
loocv_ref,Augmented|LOCO,,Ridge,43,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7382550525735917,4.5512167137996355,3.2427230870824935
loocv_ref,Augmented|LOCO,,Ridge,44,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7477189074038499,4.468180549783916,3.138659208303839
loocv_ref,Augmented|LOCO,,Ridge,45,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7461315345016785,4.482215582505086,3.215259599233315
loocv_ref,Augmented|LOCO,,Ridge,46,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7453658817807971,4.488969546414577,3.135227425071915
loocv_ref,Augmented|LOCO,,Ridge,47,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7451801377150395,4.490606498016221,3.1575865366714577
loocv_ref,Augmented|LOCO,,Ridge,48,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.7517687301488521,4.432172008420419,3.0539713753471727
loocv_ref,Augmented|LOCO,,Ridge,49,LOCO,Augmented,Thickness_mean,,all,,,57,39,57,0.745350551679383,4.48910467230254,3.190519400747212
