part,model,subset,cv,step,metric,point,lo,hi,median_boot,n_groups,n_rows,B_total,n_seeds
dopt,GPR,all,LOCO,8,MAE,3.415640782765297,2.6336876998050736,4.348796510451068,3.3870859423907915,32,50,20000,10
dopt,GPR,all,LOCO,9,R2,0.7239608555413546,0.5624851661636727,0.8451757211400176,0.7192067949803895,33,51,20000,10
dopt,GPR,all,LOCO,9,RMSE,4.5583706709006915,3.282206724502338,6.038583074464271,4.464660464657066,33,51,20000,10
dopt,GPR,all,LOCO,9,MAE,3.292604398053233,2.512365376156716,4.165914436281638,3.2625794199476337,33,51,20000,10
dopt,GPR,all,LOCO,10,R2,0.7365122083889597,0.5797706594089386,0.8529448059653745,0.7326574015608922,34,52,20000,10
dopt,GPR,all,LOCO,10,RMSE,4.5087811493681365,3.235089036950836,6.004484443058063,4.409745672429855,34,52,20000,10
dopt,GPR,all,LOCO,10,MAE,3.22541683460149,2.4532097290217987,4.108105734974985,3.19456621327841,34,52,20000,10
dopt,GPR,all,LOCO,11,R2,0.7463061257363967,0.5942618273385827,0.8589303741540062,0.7415897207635582,35,53,20000,10
dopt,GPR,all,LOCO,11,RMSE,4.469901769182913,3.2069864571224693,5.92232075663106,4.382733602318066,35,53,20000,10
dopt,GPR,all,LOCO,11,MAE,3.1662684037985374,2.3876677011353764,4.029360736506977,3.1479943829247325,35,53,20000,10
dopt,GPR,all,LOCO,12,R2,0.7325624013142407,0.5857405830260456,0.8447116461092596,0.7283377372741697,36,54,20000,10
dopt,GPR,all,LOCO,12,RMSE,4.580745288526823,3.329032323116456,5.979007705521272,4.492897067475187,36,54,20000,10
dopt,GPR,all,LOCO,12,MAE,3.2734682296268804,2.4533206920616,4.147754293907527,3.250609747047881,36,54,20000,10
dopt,GPR,all,LOCO,13,R2,0.7439723989423063,0.5974348688107399,0.8542461770903977,0.740798207325984,37,55,20000,10
dopt,GPR,all,LOCO,13,RMSE,4.506557996748952,3.306582391090544,5.900298570457102,4.415038678532483,37,55,20000,10
dopt,GPR,all,LOCO,13,MAE,3.2093484411483013,2.435477052919606,4.052840635312053,3.177857314914153,37,55,20000,10
dopt,GPR,all,LOCO,14,R2,0.7562633995778141,0.6155487361798974,0.8632257078668285,0.754171493082225,38,56,20000,10
dopt,GPR,all,LOCO,14,RMSE,4.426076463284762,3.254750972660964,5.850491292811231,4.337242548745442,38,56,20000,10
dopt,GPR,all,LOCO,14,MAE,3.158250140007898,2.4225312283553033,3.9955141860209586,3.1286538076412684,38,56,20000,10
dopt,GPR,all,LOCO,15,R2,0.7700916174339933,0.6277035805658154,0.8740150509599837,0.7688131524089707,39,57,20000,10
dopt,GPR,all,LOCO,15,RMSE,4.2654589348068015,3.058321487742846,5.723909009661464,4.17722354792479,39,57,20000,10
dopt,GPR,all,LOCO,15,MAE,2.976928588422898,2.2676395041364312,3.8315101096880197,2.952181262221758,39,57,20000,10
